state,gender,year,name,amount
AK,M,1959,John,139
AK,M,1959,James,132
AK,M,1959,Robert,131
AK,M,1959,Michael,121
AK,M,1959,David,118
AL,M,1959,James,1873
AL,M,1959,Michael,1333
AL,M,1959,David,1213
AL,M,1959,William,1103
AL,M,1959,John,1094
AR,M,1959,James,929
AR,M,1959,David,671
AR,M,1959,Michael,611
AR,M,1959,Robert,567
AR,M,1959,John,539
AZ,M,1959,David,636
AZ,M,1959,Michael,576
AZ,M,1959,Robert,571
AZ,M,1959,John,503
AZ,M,1959,Richard,431
CA,M,1959,David,7618
CA,M,1959,Michael,7459
CA,M,1959,Robert,6513
CA,M,1959,John,6165
CA,M,1959,Mark,5305
CO,M,1959,David,913
CO,M,1959,Michael,818
CO,M,1959,John,719
CO,M,1959,Robert,703
CO,M,1959,James,668
CT,M,1959,John,1438
CT,M,1959,Robert,1345
CT,M,1959,Michael,1342
CT,M,1959,David,1281
CT,M,1959,James,1045
DE,M,1959,John,278
DE,M,1959,David,260
DE,M,1959,Michael,258
DE,M,1959,James,242
DE,M,1959,Robert,236
FL,M,1959,James,2282
FL,M,1959,Michael,2064
FL,M,1959,Robert,1959
FL,M,1959,David,1934
FL,M,1959,John,1906
AK,M,1960,David,152
AK,M,1960,Michael,140
AK,M,1960,Robert,136
AK,M,1960,John,125
AK,M,1960,James,124
AL,M,1960,James,1868
AL,M,1960,Michael,1278
AL,M,1960,David,1186
AL,M,1960,John,1133
AL,M,1960,William,1110
AR,M,1960,James,864
AR,M,1960,David,705
AR,M,1960,Michael,658
AR,M,1960,John,548
AR,M,1960,Robert,540
AZ,M,1960,David,711
AZ,M,1960,Robert,600
AZ,M,1960,Michael,597
AZ,M,1960,John,549
AZ,M,1960,James,502
CA,M,1960,David,7921
CA,M,1960,Michael,7392
CA,M,1960,John,6530
CA,M,1960,Robert,6428
CA,M,1960,Mark,5543
CO,M,1960,David,898
CO,M,1960,Michael,797
CO,M,1960,John,733
CO,M,1960,Robert,706
CO,M,1960,Mark,651
CT,M,1960,John,1385
CT,M,1960,Michael,1373
CT,M,1960,Robert,1335
CT,M,1960,David,1300
CT,M,1960,James,1015
DE,M,1960,David,274
DE,M,1960,Michael,269
DE,M,1960,John,239
DE,M,1960,Robert,238
DE,M,1960,James,228
FL,M,1960,James,2351
FL,M,1960,Michael,2111
FL,M,1960,Robert,2071
FL,M,1960,David,2047
FL,M,1960,John,1894
AK,M,1961,David,144
AK,M,1961,John,135
AK,M,1961,Michael,127
AK,M,1961,Robert,121
AK,M,1961,James,107
AL,M,1961,James,1805
AL,M,1961,Michael,1286
AL,M,1961,John,1191
AL,M,1961,David,1175
AL,M,1961,Robert,1029
AR,M,1961,James,908
AR,M,1961,David,704
AR,M,1961,Michael,654
AR,M,1961,Robert,579
AR,M,1961,John,544
AZ,M,1961,David,711
AZ,M,1961,Robert,630
AZ,M,1961,Michael,582
AZ,M,1961,John,578
AZ,M,1961,James,485
CA,M,1961,David,8116
CA,M,1961,Michael,7923
CA,M,1961,John,6841
CA,M,1961,Robert,6626
CA,M,1961,Mark,5514
CO,M,1961,David,926
CO,M,1961,Michael,911
CO,M,1961,John,768
CO,M,1961,Robert,750
CO,M,1961,Mark,709
CT,M,1961,Michael,1415
CT,M,1961,John,1408
CT,M,1961,David,1347
CT,M,1961,Robert,1317
CT,M,1961,James,1055
DE,M,1961,John,288
DE,M,1961,David,248
DE,M,1961,Michael,235
DE,M,1961,Robert,228
DE,M,1961,James,221
FL,M,1961,James,2290
FL,M,1961,Michael,2140
FL,M,1961,John,2053
FL,M,1961,David,2002
FL,M,1961,Robert,1983
AK,M,1962,John,157
AK,M,1962,Michael,143
AK,M,1962,David,142
AK,M,1962,Robert,131
AK,M,1962,James,119
AL,M,1962,James,1647
AL,M,1962,Michael,1222
AL,M,1962,John,1160
AL,M,1962,David,1125
AL,M,1962,William,974
AR,M,1962,James,836
AR,M,1962,David,675
AR,M,1962,Michael,675
AR,M,1962,Robert,563
AR,M,1962,John,550
AZ,M,1962,David,707
AZ,M,1962,Michael,603
AZ,M,1962,John,595
AZ,M,1962,Robert,592
AZ,M,1962,James,460
CA,M,1962,David,7947
CA,M,1962,Michael,7881
CA,M,1962,John,6810
CA,M,1962,Robert,6687
CA,M,1962,James,5124
CO,M,1962,David,909
CO,M,1962,Michael,839
CO,M,1962,John,786
CO,M,1962,Robert,713
CO,M,1962,James,653
CT,M,1962,John,1429
CT,M,1962,Michael,1356
CT,M,1962,David,1273
CT,M,1962,Robert,1217
CT,M,1962,James,989
DE,M,1962,John,268
DE,M,1962,David,251
DE,M,1962,Michael,246
DE,M,1962,Robert,232
DE,M,1962,James,211
FL,M,1962,James,2169
FL,M,1962,John,2095
FL,M,1962,Michael,2026
FL,M,1962,David,1986
FL,M,1962,Robert,1951
AK,M,1963,David,145
AK,M,1963,Michael,142
AK,M,1963,Robert,133
AK,M,1963,James,122
AK,M,1963,John,121
AL,M,1963,James,1736
AL,M,1963,Michael,1210
AL,M,1963,John,1180
AL,M,1963,David,1073
AL,M,1963,Robert,971
AR,M,1963,James,928
AR,M,1963,Michael,662
AR,M,1963,David,644
AR,M,1963,John,615
AR,M,1963,Robert,592
AZ,M,1963,David,681
AZ,M,1963,Michael,605
AZ,M,1963,Robert,579
