state,gender,year,name,amount
NY,M,1959,John,8714
NY,M,1959,Michael,8688
NY,M,1959,Robert,7695
CA,M,1959,David,7618
CA,M,1959,Michael,7459
NY,M,1960,Michael,8931
NY,M,1960,John,8332
CA,M,1960,David,7921
NY,M,1960,Robert,7425
CA,M,1960,Michael,7392
NY,M,1961,Michael,9055
NY,M,1961,John,8755
CA,M,1961,David,8116
CA,M,1961,Michael,7923
NY,M,1961,Robert,7478
NY,M,1962,Michael,8864
NY,M,1962,John,8594
CA,M,1962,David,7947
CA,M,1962,Michael,7881
NY,M,1962,Robert,7099
NY,M,1963,Michael,9244
NY,M,1963,John,8669
CA,M,1963,Michael,7821
CA,M,1963,David,7611
CA,M,1963,John,7033
NY,M,1964,John,8892
NY,M,1964,Michael,8857
CA,M,1964,Michael,7985
CA,M,1964,David,7535
CA,M,1964,John,7325
NY,M,1965,Michael,8672
NY,M,1965,John,7895
CA,M,1965,Michael,7833
CA,M,1965,David,6818
NY,M,1965,Robert,6399
NY,M,1966,Michael,8547
CA,M,1966,Michael,7686
NY,M,1966,John,6926
CA,M,1966,David,6759
NY,M,1966,Robert,5902
NY,M,1967,Michael,8196
CA,M,1967,Michael,8133
CA,M,1967,David,6929
NY,M,1967,John,6383
CA,M,1967,John,5650
CA,M,1968,Michael,8080
NY,M,1968,Michael,7904
CA,M,1968,David,6485
NY,M,1968,John,5957
CA,M,1968,Robert,5890
CA,M,1969,Michael,8244
NY,M,1969,Michael,8006
CA,M,1969,David,6567
CA,M,1969,Robert,6025
NY,M,1969,John,5906
CA,M,1970,Michael,8198
NY,M,1970,Michael,7956
CA,M,1970,David,6376
CA,M,1970,Robert,5667
NY,M,1970,John,5569
NY,M,1971,Michael,6839
CA,M,1971,Michael,6823
CA,F,1971,Jennifer,5456
CA,M,1971,David,5243
NY,F,1971,Jennifer,4963
CA,M,1972,Michael,6345
NY,M,1972,Michael,6257
CA,F,1972,Jennifer,6066
NY,F,1972,Jennifer,5524
CA,M,1972,David,4635
CA,M,1973,Michael,5880
NY,M,1973,Michael,5739
CA,F,1973,Jennifer,5647
NY,F,1973,Jennifer,4956
CA,M,1973,Jason,4408
CA,M,1974,Michael,6062
NY,M,1974,Michael,5881
CA,F,1974,Jennifer,5675
NY,F,1974,Jennifer,4919
CA,M,1974,Jason,4781
CA,M,1975,Michael,6215
NY,M,1975,Michael,6044
CA,F,1975,Jennifer,5321
CA,M,1975,Jason,4384
NY,F,1975,Jennifer,4154
CA,M,1976,Michael,6181
NY,M,1976,Michael,5923
CA,F,1976,Jennifer,5571
CA,M,1976,David,4350
CA,M,1976,Jason,4348
CA,M,1977,Michael,6324
NY,M,1977,Michael,6012
CA,F,1977,Jennifer,5542
CA,M,1977,David,4425
CA,M,1977,Jason,4425
CA,M,1978,Michael,6491
NY,M,1978,Michael,5855
CA,F,1978,Jennifer,5295
CA,M,1978,David,4581
CA,M,1978,Jason,4305
CA,M,1979,Michael,6586
NY,M,1979,Michael,5777
CA,F,1979,Jennifer,5461
CA,M,1979,David,4875
CA,M,1979,Christopher,4717
